year,turn,r1,r2,r3,r4,r5,r6,b
6,110,09,12,14,18,27,33,13
6,111,01,08,11,16,17,22,15
6,112,04,09,13,15,31,33,11
6,113,05,14,17,18,28,33,02
6,114,08,10,14,20,27,29,16
6,115,01,10,20,26,28,29,15
6,116,05,16,21,22,32,33,09
6,117,06,14,20,22,23,26,09
6,118,01,03,07,08,10,30,05
6,119,01,02,14,20,27,30,02
6,120,06,08,14,15,24,33,09
6,121,03,04,06,27,31,33,06
6,122,04,05,06,08,22,24,03
6,123,02,03,20,25,28,32,06
6,124,12,13,14,18,31,32,13
6,125,15,19,23,30,32,33,06
6,126,02,08,13,16,24,33,09
6,127,03,04,11,17,19,30,01
6,128,04,15,21,30,31,33,05
6,129,09,14,18,22,27,29,12
6,130,01,12,21,22,30,32,02
6,131,03,04,09,22,26,33,01
6,132,06,14,22,26,30,33,01
6,133,04,06,20,25,29,31,03
6,134,10,13,18,26,28,30,12
6,135,04,19,21,22,23,31,04
6,136,11,15,17,21,22,24,05
6,137,10,14,17,21,27,31,09
6,138,04,09,11,17,18,26,08
6,139,07,08,14,21,23,25,05
6,140,01,08,11,18,19,23,05
6,141,16,18,22,23,25,31,11
6,142,10,16,19,22,26,27,16
6,143,01,15,20,29,31,32,08
6,144,04,10,13,16,22,29,06
6,145,02,07,23,26,28,31,07
6,146,03,09,13,23,28,30,05
6,147,01,04,15,17,27,31,01
6,148,04,08,12,13,23,29,01
6,149,02,03,05,11,15,32,15
6,150,08,09,12,18,25,27,12
6,151,01,03,04,06,16,22,08
6,152,01,14,20,25,27,31,15
6,153,01,07,11,20,30,33,10
6,154,07,14,18,20,30,33,13
7,1,02,04,09,10,20,26,14
7,2,05,06,14,20,21,22,01
7,3,05,09,11,12,22,27,15
7,4,03,07,10,13,25,33,10
7,5,01,05,06,16,24,30,12
7,6,06,10,14,22,26,27,11
7,7,04,12,15,17,22,32,14
7,8,01,04,05,18,19,25,10
7,9,02,04,14,15,25,27,15
7,10,03,08,14,17,30,32,05
7,11,03,10,15,25,28,33,16
7,12,03,05,07,21,26,28,04
7,13,05,15,18,27,29,32,05
7,14,01,13,16,20,24,26,09
7,15,03,04,08,18,22,30,15
7,16,01,18,20,22,26,33,05
7,17,05,09,10,24,25,32,14
7,18,01,12,18,20,21,26,11
7,19,04,11,16,23,29,31,14
7,20,05,10,16,20,28,31,14
7,21,03,06,09,11,25,31,13
7,22,02,04,07,10,18,27,10
7,23,03,07,13,17,32,33,02
